Date,SYD_actual,SYD_predicted,CWN_actual,CWN_predicted,ASX_actual,ASX_predicted,UBER_actual,UBER_predicted,CSL_actual,CSL_predicted
2020-05-12,5.65,5.6420884,9.23,9.333213,83.150002,80.56198,31.42,27.582815,303.209991,313.1043
2020-05-13,5.52,5.647522,8.9,9.253407,82.059998,80.638466,32.299999,27.660183,302.25,312.69778
2020-05-14,5.45,5.6685176,8.88,9.006961,82.279999,80.55613,32.529999,27.835638,307.25,311.9423
2020-05-15,5.49,5.6669703,9.1,8.875071,83.019997,80.421814,32.259997999999996,28.080257,302.859985,311.45642
2020-05-18,5.51,5.6551647,9.15,8.965781,83.379997,80.41022,33.700001,28.349941,307.829987,311.01617
2020-05-19,5.72,5.6467996,9.36,9.057701,84.489998,80.53965,33.68,28.620338,310.75,311.02307
2020-05-20,5.55,5.6842895,9.37,9.227148,82.5,80.86864,34.119999,28.869118,301.01001,311.73285
2020-05-21,5.71,5.7106714,9.65,9.306322,85.68,80.960655,34.450001,29.080555,303.97000099999997,312.00858
2020-05-22,5.59,5.7440095,9.45,9.499875,84.790001,81.299034,34.150002,29.245977,295.019989,311.8155
2020-05-25,5.78,5.7534103,9.43,9.459418,85.0,81.63439,,,296.179993,310.47876
2020-05-26,5.98,5.7796497,9.75,9.410913,85.790001,81.89957,35.970001,29.352837,300.0,308.38522
2020-05-27,6.25,5.8578596,10.0,9.58544,87.400002,82.18102,34.419998,29.421606,299.309998,306.4772
2020-05-28,6.17,6.008769,9.84,9.827312,88.989998,82.647644,34.900002,29.445488,294.76001,305.20435
2020-05-29,5.99,6.143243,9.7,9.829302,88.0,83.34161,34.18,29.424347,286.700012,304.25336
2020-06-01,5.82,6.1793866,9.51,9.723459,87.730003,83.882805,35.639998999999996,29.3517,277.0,302.7514
2020-06-02,5.92,6.1142454,9.66,9.550905,87.959999,84.18395,36.16,29.25404,284.01001,299.82477
2020-06-03,6.0,6.0394526,10.0,9.572524,88.940002,84.34959,36.200001,29.16902,284.440002,296.5021
2020-06-04,6.2,6.0098915,10.2,9.812219,89.269997,84.57194,36.419998,29.124214,289.22000099999997,293.6786
2020-06-05,6.27,6.062827,10.29,10.048088,87.900002,84.85866,37.529999,29.134735,291.160004,292.28125
2020-06-08,,,,,,,37.869999,29.219603,,
2020-06-09,6.8,6.1676707,10.68,10.194428,88.41999799999999,84.97207,36.700001,29.38684,289.98999,292.54538
2020-06-10,7.0,6.3930435,10.7,10.486572,85.199997,85.0334,36.689999,29.60421,282.390015,293.85678
2020-06-11,6.78,6.681447,10.5,10.606066,85.019997,84.702,32.630001,29.831017,282.0,294.728
2020-06-12,6.3,6.8444376,9.8,10.508882,83.260002,84.18471,32.73,29.962458,281.97000099999997,294.56973
2020-06-15,6.44,6.763689,10.15,10.011502,83.0,83.48742,31.16,29.938679,282.109985,293.48734
2020-06-16,6.35,6.6279845,10.2,10.022046,86.0,82.796745,34.0,29.739649,281.51001,291.93008
2020-06-17,6.34,6.50612,10.4,10.094886,84.709999,82.65511,33.5,29.445501,286.040009,290.31784
2020-06-18,6.2,6.4310536,10.44,10.266658,84.730003,82.71171,33.0,29.147383,284.769989,289.40176
2020-06-19,6.17,6.374238,10.26,10.361292,85.160004,82.779335,33.98,28.911816,288.5,289.24002
2020-06-22,6.0,6.332934,10.2,10.2743635,85.489998,82.84838,32.43,28.793425,286.369995,289.96356
2020-06-23,6.05,6.2749662,10.1,10.1876335,86.730003,82.927895,32.880001,28.796722,290.589996,291.04962
2020-06-24,5.96,6.2307196,10.25,10.088652,85.279999,83.14236,32.75,28.910385,290.0,292.43622
2020-06-25,5.7,6.1905117,9.55,10.150325,83.800003,83.19568,30.0,29.110897,289.880005,293.78622
2020-06-26,5.51,6.1061373,9.59,9.746305,84.519997,82.927216,30.440001000000002,29.331024,296.149994,294.81552
